Latitude,Longitude
12.9716,77.59455
12.97188,77.59461
12.97188,77.59461
12.97201,77.59425
12.97211,77.59405
12.97211,77.59405
12.97202,77.59397
12.97211,77.59394
12.97218,77.59399
12.97239,77.59418
12.9733,77.59491
12.97337,77.59498
12.97342,77.59502
12.97346,77.59506
12.97349,77.59508
12.97351,77.59511
12.97354,77.59514
12.97358,77.59518
12.97363,77.59524
12.97368,77.59529
12.97414,77.59585
12.97462,77.59643
12.97491,77.59679
12.97495,77.59684
12.97499,77.5969
12.97563,77.59781
12.97594,77.59825
12.97627,77.5987
12.97636,77.59882
12.97655,77.59906
12.97667,77.59923
12.97667,77.59923
12.97695,77.59909
12.97883,77.59823
12.98035,77.59753
12.98059,77.59735
12.98096,77.597
12.98097,77.59699
12.98098,77.59697
12.98099,77.59695
12.981,77.59693
12.98101,77.59691
12.98103,77.59689
12.98128,77.5963
12.98139,77.59605
12.98142,77.59597
12.98181,77.59477
12.98181,77.59477
12.98188,77.5946
12.98201,77.59429
12.98204,77.59421
12.98206,77.59411
12.9821,77.59403
12.98212,77.59395
12.98216,77.59383
12.9822,77.59372
12.98223,77.59363
12.98228,77.59347
12.98232,77.59334
12.98238,77.59307
12.98239,77.593
12.98243,77.59289
12.98248,77.59275
12.98251,77.59266
12.98254,77.59258
12.98256,77.59253
12.9826,77.59249
12.98264,77.59245
12.9827,77.59241
12.9828,77.59236
12.98296,77.59232
12.98296,77.59232
12.9833,77.59167
12.98443,77.589
12.98446,77.58895
12.98461,77.58841
12.98469,77.58832
12.98469,77.58832
12.98484,77.58821
12.98513,77.58836
12.9852,77.58839
12.98593,77.58868
12.98615,77.58877
12.98621,77.58878
12.98627,77.58879
12.98636,77.58879
12.98657,77.58876
12.9866,77.58873
12.98663,77.58872
12.98667,77.58871
12.98667,77.58871
12.98809,77.58698
12.98851,77.58649
12.98874,77.58625
12.98884,77.58614
12.9889,77.58609
12.98897,77.58604
12.98904,77.58599
12.9891,77.58595
12.98915,77.58593
12.98919,77.58591
12.98926,77.58589
12.98935,77.58587
12.98936,77.58587
12.98948,77.58583
12.98975,77.58577
12.99109,77.58556
12.99113,77.58555
12.99114,77.58555
12.99166,77.58546
12.99272,77.58532
12.99278,77.58531
12.99286,77.58529
12.99291,77.58528
12.99296,77.58526
12.99301,77.58524
12.99306,77.58521
12.99319,77.58511
12.99324,77.58508
12.99328,77.58506
12.99332,77.58505
12.99336,77.58504
12.9936,77.585
12.99367,77.58499
12.99373,77.58499
12.99377,77.585
12.99383,77.58502
12.99388,77.58505
12.99394,77.58509
12.994,77.58512
12.99405,77.58513
12.9941,77.58513
12.99464,77.58503
12.99557,77.58482
12.99623,77.58468
12.99695,77.58455
12.99702,77.58454
12.99736,77.58445
12.99757,77.5844
12.99774,77.58436
12.99792,77.58433
12.99831,77.58426
12.99868,77.5842
12.99872,77.5842
12.99999,77.58412
13.00044,77.5841
13.00074,77.58408
13.00087,77.58408
13.00112,77.58409
13.00181,77.58411
13.00183,77.58411
13.00263,77.58405
13.0027,77.58404
13.0027,77.58404
13.00299,77.58407
13.00352,77.5841
13.00365,77.58411
13.00368,77.58411
13.0049,77.58408
13.00673,77.58397
13.00801,77.5839
13.009,77.58384
13.01005,77.58383
13.01083,77.58381
13.01083,77.58381
13.01114,77.5838
13.01136,77.58381
13.01183,77.58384
13.01201,77.58384
13.01266,77.58388
13.01389,77.58391
13.01422,77.58391
13.01449,77.58392
13.01477,77.58392
13.01496,77.58393
13.01627,77.58391
13.0167,77.58391
13.0177,77.58389
13.018,77.58388
13.01819,77.58388
13.01867,77.58387
13.01919,77.58385
13.0192,77.58385
13.01955,77.58385
13.01987,77.58386
13.02018,77.58388
13.02032,77.58389
13.02044,77.5839
13.02052,77.58391
13.02057,77.58393
13.02072,77.58397
13.02091,77.58403
13.02106,77.58407
13.02153,77.58418
13.02191,77.5843
13.02221,77.58436
13.0225,77.58446
13.02268,77.5845
13.02279,77.58452
13.02286,77.58453
13.02294,77.58453
13.02299,77.58453
13.02306,77.58455
13.02525,77.58508
13.0257,77.58519
13.02621,77.58531
13.02697,77.58551
13.02701,77.58552
13.02712,77.58555
13.02737,77.58564
13.02792,77.58582
13.02808,77.58588
13.02838,77.58601
13.02854,77.58609
13.02927,77.58642
13.02958,77.58653
13.03075,77.587
13.03189,77.58752
13.03242,77.5878
13.03247,77.58782
13.03297,77.58806
13.03312,77.58811
13.03324,77.58816
13.03338,77.58819
13.03361,77.58824
13.03389,77.58826
13.03408,77.58829
13.03431,77.58835
13.03446,77.5884
13.03454,77.58842
13.03465,77.58846
13.03471,77.58848
13.03473,77.58849
13.0351,77.58864
13.03538,77.58876
13.03598,77.58902
13.0361,77.58907
13.03631,77.58914
13.03649,77.58917
13.03673,77.58919
13.03687,77.58919
13.03722,77.58919
13.03759,77.5892
13.03806,77.58925
13.03822,77.58926
13.03858,77.5893
13.03865,77.58931
13.03921,77.5894
13.03921,77.5894
13.03937,77.58943
13.04002,77.58955
13.04057,77.58966
13.04081,77.58971
13.04111,77.5898
13.04121,77.58982
13.04131,77.58985
13.04156,77.58992
13.04179,77.58999
13.04206,77.59005
13.04245,77.59018
13.04257,77.59022
13.04288,77.59035
13.04313,77.59046
13.04364,77.59069
13.0442,77.59093
13.04441,77.591
13.04488,77.59112
13.04519,77.59118
13.04538,77.5912
13.04552,77.59122
13.04568,77.59124
13.04572,77.59125
13.04576,77.59126
13.04583,77.59127
13.04594,77.59128
13.04603,77.59129
13.04611,77.5913
13.04624,77.59134
13.04642,77.59139
13.04659,77.59142
13.04659,77.59142
13.04686,77.59153
13.0471,77.59162
13.04772,77.59189
13.04816,77.59211
13.04844,77.59225
13.0488,77.59243
13.04909,77.59256
13.04933,77.59264
13.04948,77.59268
13.04983,77.59277
13.05118,77.59311
13.05196,77.59329
13.0522,77.59335
13.05237,77.59338
13.05251,77.59341
13.05264,77.59343
13.05276,77.59344
13.0529,77.59345
13.053,77.59345
13.05314,77.59345
13.05327,77.59345
13.05338,77.59346
13.0536,77.59346
13.05371,77.59347
13.05379,77.59346
13.05392,77.59345
13.05458,77.5934
13.05488,77.59338
13.0557,77.59336
13.05641,77.59336
13.05716,77.59337
13.0573,77.59337
13.05761,77.59337
13.05874,77.59338
13.06003,77.59339
13.06057,77.59338
13.06183,77.59332
13.06325,77.59325
13.06422,77.59321
13.06523,77.5932
13.06566,77.59319
13.06607,77.59316
13.06713,77.59307
13.06728,77.59305
13.06744,77.59303
13.06891,77.59291
13.07005,77.59283
13.07219,77.59268
13.07337,77.59261
13.07345,77.5926
13.07353,77.5926
13.074,77.59259
13.07446,77.59259
13.07487,77.5926
13.07542,77.59263
13.07585,77.59265
13.07621,77.59269
13.0769,77.59276
13.08016,77.59306
13.08175,77.5932
13.08188,77.59322
13.08202,77.59325
13.08227,77.59329
13.08284,77.59343
13.08324,77.59357
13.08446,77.59405
13.08546,77.59445
13.08585,77.5946
13.08623,77.59475
13.08633,77.59479
