Latitude,Longitude
19.07596,72.87764
19.07595,72.87765
19.07564,72.87814
19.07559,72.8782
19.07546,72.87842
19.07537,72.87857
19.07523,72.87887
19.0751,72.87918
19.07502,72.87942
19.07502,72.87942
19.07483,72.87961
19.07454,72.88004
19.07424,72.88051
19.07401,72.88083
19.0739,72.88098
19.07379,72.88116
19.07376,72.88126
19.07372,72.88137
19.07368,72.88154
19.07364,72.8817
19.07362,72.88191
19.0736,72.88232
19.07359,72.88249
19.07358,72.88267
19.07355,72.88281
19.07352,72.88296
19.07344,72.88317
19.07336,72.88333
19.07329,72.88349
19.07315,72.88369
19.07292,72.88397
19.07268,72.88422
19.07184,72.8851
19.07063,72.88612
19.07023,72.88645
19.06983,72.88679
19.06898,72.88749
19.06802,72.88828
19.06767,72.88856
19.06752,72.88872
19.06737,72.88888
19.06719,72.88907
19.06661,72.88971
19.06654,72.8898
19.06647,72.8899
19.06641,72.88998
19.06635,72.89009
19.06631,72.89019
19.06624,72.89035
19.0662,72.89052
19.06493,72.89533
19.06476,72.89589
19.06466,72.89629
19.06463,72.89651
19.06461,72.89671
19.06461,72.89689
19.06463,72.89705
19.06466,72.89724
19.06471,72.89742
19.06477,72.89758
19.06485,72.89774
19.06545,72.89865
19.0656,72.89891
19.06575,72.89918
19.06599,72.89959
19.0661,72.89977
19.06712,72.9013
19.06767,72.90231
19.06855,72.90357
19.06858,72.90363
19.0686,72.90367
19.06862,72.90371
19.06863,72.90374
19.06863,72.90377
19.06864,72.90388
19.06948,72.90512
19.07078,72.90709
19.07078,72.90709
19.07087,72.90722
19.07094,72.90733
19.07102,72.90745
19.07122,72.90776
19.07142,72.90807
19.07152,72.90823
19.07168,72.90849
19.07222,72.90926
19.07288,72.91015
19.07317,72.91052
19.07342,72.91086
19.07384,72.91143
19.07428,72.91202
19.07454,72.91236
19.07473,72.91259
19.07491,72.9128
19.07506,72.91297
19.07523,72.91316
19.07549,72.91344
19.07593,72.91387
19.07616,72.91409
19.0764,72.91431
19.07753,72.91527
19.07952,72.91696
19.07984,72.91722
19.08013,72.91746
19.08024,72.91756
19.08124,72.91846
19.08222,72.9193
19.08401,72.92083
19.08419,72.92098
19.08436,72.92112
19.08595,72.92246
19.08619,72.92265
19.0864,72.92282
19.08661,72.92297
19.08688,72.92315
19.08706,72.92325
19.08723,72.92334
19.08785,72.92357
19.08874,72.92396
19.08974,72.92438
19.09154,72.92512
19.09227,72.92543
19.09241,72.92549
19.0929,72.92568
19.09575,72.92686
19.09947,72.9284
19.10058,72.92887
19.10489,72.93066
19.10553,72.93088
19.10892,72.93229
19.10912,72.93237
19.10933,72.93245
19.11184,72.93349
19.11345,72.93412
19.11587,72.93513
19.12094,72.93724
19.12094,72.93724
19.12388,72.93847
