Latitude,Longitude
18.52066,73.85674
18.52066,73.85665
18.52067,73.85637
18.52068,73.85602
18.52068,73.85571
18.52068,73.85571
18.52039,73.85596
18.52034,73.856
18.52028,73.85604
18.52021,73.85607
18.52005,73.85613
18.51998,73.85614
18.51987,73.85614
18.5192,73.85616
18.51855,73.85619
18.51855,73.85619
18.5186,73.85479
18.5186,73.85455
18.5186,73.85455
18.51935,73.8545
18.51935,73.8545
18.51934,73.8545
18.51935,73.85438
18.51936,73.85384
18.51937,73.85368
18.51939,73.85333
18.51941,73.85302
18.51943,73.8527
18.51946,73.85206
18.51946,73.85196
18.51948,73.85174
18.5195,73.85149
18.51952,73.85141
18.51954,73.85133
18.51961,73.85124
18.51972,73.85111
18.51979,73.851
18.51984,73.85092
18.51986,73.85084
18.51987,73.85071
18.51989,73.85041
18.51988,73.85005
18.51979,73.84994
18.51971,73.84979
18.51971,73.84979
18.5197,73.84979
18.5197,73.84978
18.51969,73.84978
18.51968,73.84978
18.51968,73.84977
18.51967,73.84977
18.51966,73.84976
18.51965,73.84975
18.51965,73.84974
18.51964,73.84974
18.51964,73.84973
18.51963,73.84972
18.51963,73.84971
18.51963,73.8497
18.51963,73.84969
18.51962,73.84969
18.51962,73.84968
18.51962,73.84967
18.51962,73.84966
18.51963,73.84965
18.51963,73.84964
18.51963,73.84963
18.51963,73.84962
18.51964,73.84962
18.51964,73.84961
18.51964,73.8496
18.51965,73.8496
18.51965,73.84959
18.51966,73.84959
18.51966,73.84958
18.51964,73.84952
18.51962,73.84943
18.5196,73.84928
18.51954,73.84912
18.51947,73.84902
18.51947,73.84901
18.51946,73.849
18.51945,73.84899
18.51945,73.84898
18.51944,73.84897
18.51944,73.84896
18.51943,73.84896
18.51943,73.84895
18.51942,73.84894
18.51941,73.84893
18.51941,73.84892
18.5194,73.84892
18.5194,73.84891
18.51939,73.8489
18.51939,73.84889
18.51938,73.84889
18.51938,73.84888
18.51937,73.84887
18.51936,73.84887
18.51936,73.84886
18.51935,73.84885
18.51935,73.84884
18.51934,73.84884
18.51934,73.84883
18.51933,73.84882
18.51932,73.84881
18.51931,73.8488
18.51931,73.84879
18.5193,73.84879
18.51929,73.84878
18.51928,73.84877
18.51921,73.84865
18.51921,73.84865
18.51929,73.8486
18.51933,73.84859
18.51936,73.84858
18.5194,73.84858
18.51944,73.84858
18.51949,73.84858
18.51954,73.84859
18.5197,73.84862
18.51982,73.84864
18.51994,73.84866
18.51994,73.84866
18.5196,73.84831
18.51886,73.84762
18.51854,73.84729
18.51824,73.84701
18.51794,73.84675
18.51766,73.84654
18.51718,73.84617
18.51701,73.84605
18.51677,73.84588
18.51643,73.84564
18.51518,73.84484
18.51518,73.84484
18.51507,73.84503
18.51501,73.84513
18.51492,73.84527
18.51471,73.84556
18.51471,73.84556
18.51444,73.84531
18.51387,73.84476
18.51387,73.84476
18.5138,73.8448
18.51348,73.84528
18.51348,73.84528
18.51299,73.8443
18.51296,73.84402
18.51289,73.84392
18.51285,73.84385
18.51285,73.84385
18.51264,73.84389
18.51255,73.8439
18.51248,73.8439
18.51241,73.84389
18.51234,73.84387
18.51227,73.84385
18.5122,73.8438
18.51206,73.84372
18.51194,73.84365
18.51168,73.84348
18.51145,73.84332
18.51141,73.84329
18.51138,73.84328
18.51134,73.84327
18.51128,73.84327
18.51103,73.84327
18.51085,73.84327
18.5106,73.84329
18.51047,73.84331
18.51035,73.84335
18.51008,73.84343
18.50988,73.8435
18.50958,73.84357
18.50922,73.84369
18.50888,73.84381
18.5083,73.84407
18.50748,73.84433
18.50669,73.84452
18.50633,73.84461
18.50554,73.84484
18.5053,73.84491
18.50517,73.84494
18.50508,73.84496
